id_bien;id_commune;no_voie;type_voie;indice_repetition;voie;nombre_piece;surface_carrez;surface_reelle_bati;type_local
17362;75110;89;QUAI;;DE VALMY;1;10.52;20;Appartement
16060;75102;273;RUE;;SAINT DENIS;1;10.53;10;Appartement
16964;75109;12;RUE;;LENTONNET;1;10.55;16;Appartement
7515;34301;30;AV;;VICTOR HUGO;1;10.58;12;Appartement
18585;75115;34;RUE;;DE VOUILLE;1;10.58;12;Appartement
21952;77305;31;RUE;;JEAN JAURES;1;10.59;10;Appartement
20070;75118;7;RUE;;DES POISSONNIERS;1;10.6;12;Appartement
31335;94041;2;PL;;INSURRECTION D AOUT 1944;3;10.6;46;Appartement
2014;08105;3;RUE;;DU PRESIDENT KENNEDY;6;10.65;195;Appartement
20532;75120;244;RUE;;DES PYRENEES;1;10.65;10;Appartement
28229;92025;16;RUE;;PIERRE BROSSOLETTE;1;10.66;14;Appartement
20279;75119;241;RUE;;DE CRIMEE;1;10.67;10;Appartement
16710;75107;215;RUE;;DE L UNIVERSITE;1;10.69;14;Appartement
16282;75103;51;BD;;BEAUMARCHAIS;1;10.75;10;Appartement
17642;75111;7;RUE;;LACHARRIERE;0;10.75;12;Appartement
9937;44109;19;RUE;;ALEXANDRE FOURNY;1;10.78;11;Appartement
23220;78401;6;RUE;;DES RUELLES;3;10.78;27;Appartement
18420;75115;10;RUE;;FIRMIN GILLOT;1;10.8;12;Appartement
19863;75118;24;RUE;;LEON;1;10.81;10;Appartement
20417;75119;15;AV;;JEAN JAURES;1;10.81;10;Appartement
13001;60159;33;RUE;;DES DOMELIERS;1;10.83;12;Appartement
19191;75116;66;AV;;KLEBER;1;10.83;11;Appartement
4737;27660;101;RTE;;DU CHAMBLAC;1;10.84;30;Appartement
20095;75118;8;RUE;;BAUDELIQUE;1;10.84;9;Appartement
32233;94078;5;PL;;SOLFERINO;1;10.9;9;Appartement
12569;59350;630;AV;;DE LA REPUBLIQUE;1;10.94;11;Appartement
16261;75103;97;RUE;;BEAUBOURG;1;10.96;22;Appartement
20313;75119;3;RUE;;DE LUNEVILLE;1;10.96;11;Appartement
17027;75109;28;RUE;;DE BELLEFOND;1;10.97;15;Appartement
797;06027;73;CHE;;DES COLLETTES;3;100.01;110;Maison
30712;94015;11;RUE;B;LEON MENU;4;100.01;103;Maison
33535;95580;13;SQ;;DES ROUGES GORGES;4;100.01;100;Maison
18462;75115;150;RUE;;DE VAUGIRARD;5;100.02;92;Appartement
6402;33167;3;RUE;;HENRY MATISSE;4;100.03;91;Appartement
32422;94081;114;RUE;;CHAMPOLLION;5;100.05;76;Maison
20448;75119;8;AV;;SIMON BOLIVAR;4;100.06;104;Appartement
7572;35012;10;IMP;;DES CANNAS;5;100.07;97;Maison
18713;75115;7;RUE;;CAMBRONNE;4;100.08;100;Appartement
29023;92051;190;BD;;BINEAU;3;100.08;103;Appartement
32673;95091;18;RUE;;DE GASCOGNE;5;100.09;90;Maison
8608;38382;18;RUE;;DU CHARMANT SOM;5;100.1;98;Appartement
27996;92019;5;RUE;;DU MEROU;5;100.1;104;Appartement
469;05040;9007;RUE;;DES EYGUIERES;5;100.11;100;Maison
5222;30133;3;AV;;FREDERIC MISTRAL;4;100.11;95;Appartement
13994;69081;6;CHE;C;DE CALABERT;4;100.12;99;Appartement
28967;92051;28;RUE;;CHAUVEAU;4;100.12;100;Appartement
25267;83137;9005;RUE;;DU SOUS MARIN L EURYDICE;5;100.13;115;Appartement
31410;94043;98;AV;;DE FONTAINEBLEAU;4;100.14;99;Appartement
33345;95488;11;RUE;;DU DRAIN;3;100.14;84;Maison
23050;78358;41;AV;;EGLE;5;100.16;94;Appartement
2215;10387;19;BD;;DU QUATORZE JUILLET;4;100.19;100;Appartement
19356;75117;24;RUE;;DE CHAZELLES;6;100.2;99;Appartement
21899;77288;65;RUE;;DU PRIEURE SAINT SAUVEUR;4;100.2;103;Maison
1122;06084;1091;CHE;;DU PUITS DU PLAN;3;100.21;102;Maison
27673;92002;11;RUE;;EMILE SEITZ;5;100.21;128;Maison
4689;26362;57;ALL;;ANTONIO VIVALDI;4;100.22;97;Maison
22753;78172;3;RUE;;FAMILLE FRAJENBERG;5;100.23;100;Maison
2834;13201;14;BD;;GARIBALDI;3;100.24;105;Appartement
6643;33281;19;RUE;;DU BOURDILLOT;4;100.24;98;Appartement
24100;80021;3;RUE;;AGRIPPA D AUBIGNE;4;100.24;100;Appartement
26185;88209;7;RUE;B;JULES FERRY;4;100.25;108;Appartement
7232;34129;9;IMP;;EMMANUEL CHABRIER;4;100.3;100;Appartement
13995;69081;8;CHE;;LOUIS CHIRPAZ;4;100.3;101;Appartement
31071;94028;56;RUE;B;DES ECOLES;4;100.3;100;Maison
33768;972224;354;RES;;LES ALAMANDAS II;4;100.3;93;Appartement
15829;74225;12;RUE;;DES TREILLES;5;100.32;103;Maison
22003;77316;34;RUE;;LEON RICHET;5;100.32;100;Maison
3098;13207;10;IMP;;DE LA GAVELIERE;4;100.33;97;Appartement
23279;78423;10;PL;;DE WICKLOW;5;100.33;100;Appartement
